frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len,tcp.flags,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.analysis.lost_segment
"1","Feb 24, 2015 17:48:50.587567000 CET","00:0c:29:ee:b7:84","00:0c:29:f9:a8:75","192.168.1.100","192.168.1.101","6","62","0x00000002","1912","502",,,
"2","Feb 24, 2015 17:48:50.587739000 CET","00:0c:29:f9:a8:75","00:0c:29:ee:b7:84","192.168.1.101","192.168.1.100","6","62","0x00000012","502","1912",,,
"3","Feb 24, 2015 17:48:50.587864000 CET","00:0c:29:ee:b7:84","00:0c:29:f9:a8:75","192.168.1.100","192.168.1.101","6","54","0x00000010","1912","502",,,
"4","Feb 24, 2015 17:48:50.588409000 CET","00:0c:29:ee:b7:84","00:0c:29:f9:a8:75","192.168.1.100","192.168.1.101","6","66","0x00000018","1912","502",,,
"5","Feb 24, 2015 17:48:50.588971000 CET","00:0c:29:ee:b7:84","00:0c:29:6e:ba:5e","192.168.1.100","192.168.1.102","6","62","0x00000002","1913","502",,,
"6","Feb 24, 2015 17:48:50.589139000 CET","00:0c:29:6e:ba:5e","00:0c:29:ee:b7:84","192.168.1.102","192.168.1.100","6","62","0x00000012","502","1913",,,
"7","Feb 24, 2015 17:48:50.589273000 CET","00:0c:29:ee:b7:84","00:0c:29:6e:ba:5e","192.168.1.100","192.168.1.102","6","54","0x00000010","1913","502",,,
"8","Feb 24, 2015 17:48:50.589312000 CET","00:0c:29:f9:a8:75","00:0c:29:ee:b7:84","192.168.1.101","192.168.1.100","6","71","0x00000018","502","1912",,,
"9","Feb 24, 2015 17:48:50.589821000 CET","00:0c:29:ee:b7:84","00:0c:29:6e:ba:5e","192.168.1.100","192.168.1.102","6","66","0x00000018","1913","502",,,
"10","Feb 24, 2015 17:48:50.590690000 CET","00:0c:29:6e:ba:5e","00:0c:29:ee:b7:84","192.168.1.102","192.168.1.100","6","71","0x00000018","502","1913",,,
"11","Feb 24, 2015 17:48:50.591225000 CET","00:0c:29:ee:b7:84","00:0c:29:f9:a8:75","192.168.1.100","192.168.1.101","6","54","0x00000011","1912","502",,,
"12","Feb 24, 2015 17:48:50.591390000 CET","00:0c:29:f9:a8:75","00:0c:29:ee:b7:84","192.168.1.101","192.168.1.100","6","54","0x00000010","502","1912",,,
"13","Feb 24, 2015 17:48:50.591667000 CET","00:0c:29:f9:a8:75","00:0c:29:ee:b7:84","192.168.1.101","192.168.1.100","6","54","0x00000011","502","1912",,,
"14","Feb 24, 2015 17:48:50.591773000 CET","00:0c:29:ee:b7:84","00:0c:29:f9:a8:75","192.168.1.100","192.168.1.101","6","54","0x00000010","1912","502",,,
"15","Feb 24, 2015 17:48:50.592631000 CET","00:0c:29:ee:b7:84","00:0c:29:6e:ba:5e","192.168.1.100","192.168.1.102","6","54","0x00000011","1913","502",,,
"16","Feb 24, 2015 17:48:50.592792000 CET","00:0c:29:6e:ba:5e","00:0c:29:ee:b7:84","192.168.1.102","192.168.1.100","6","54","0x00000010","502","1913",,,
"17","Feb 24, 2015 17:48:50.593043000 CET","00:0c:29:6e:ba:5e","00:0c:29:ee:b7:84","192.168.1.102","192.168.1.100","6","54","0x00000011","502","1913",,,
"18","Feb 24, 2015 17:48:50.593156000 CET","00:0c:29:ee:b7:84","00:0c:29:6e:ba:5e","192.168.1.100","192.168.1.102","6","54","0x00000010","1913","502",,,
"19","Feb 24, 2015 17:48:50.593720000 CET","00:0c:29:ee:b7:84","00:0c:29:70:aa:b7","192.168.1.100","192.168.1.105","6","62","0x00000002","1915","502",,,
"20","Feb 24, 2015 17:48:50.593898000 CET","00:0c:29:70:aa:b7","00:0c:29:ee:b7:84","192.168.1.105","192.168.1.100","6","62","0x00000012","502","1915",,,
"21","Feb 24, 2015 17:48:50.594007000 CET","00:0c:29:ee:b7:84","00:0c:29:70:aa:b7","192.168.1.100","192.168.1.105","6","54","0x00000010","1915","502",,,
"22","Feb 24, 2015 17:48:50.594453000 CET","00:0c:29:ee:b7:84","00:0c:29:70:aa:b7","192.168.1.100","192.168.1.105","6","66","0x00000018","1915","502",,,
"23","Feb 24, 2015 17:48:50.594757000 CET","00:0c:29:ee:b7:84","00:0c:29:dc:42:e5","192.168.1.100","192.168.1.103","6","62","0x00000002","1916","502",,,
"24","Feb 24, 2015 17:48:50.594923000 CET","00:0c:29:dc:42:e5","00:0c:29:ee:b7:84","192.168.1.103","192.168.1.100","6","62","0x00000012","502","1916",,,
"25","Feb 24, 2015 17:48:50.595031000 CET","00:0c:29:ee:b7:84","00:0c:29:dc:42:e5","192.168.1.100","192.168.1.103","6","54","0x00000010","1916","502",,,
"26","Feb 24, 2015 17:48:50.595355000 CET","00:0c:29:70:aa:b7","00:0c:29:ee:b7:84","192.168.1.105","192.168.1.100","6","71","0x00000018","502","1915",,,
"27","Feb 24, 2015 17:48:50.595579000 CET","00:0c:29:ee:b7:84","00:0c:29:dc:42:e5","192.168.1.100","192.168.1.103","6","66","0x00000018","1916","502",,,
"28","Feb 24, 2015 17:48:50.595862000 CET","00:0c:29:ee:b7:84","00:0c:29:58:97:2a","192.168.1.100","192.168.1.106","6","62","0x00000002","1917","502",,,
"29","Feb 24, 2015 17:48:50.596037000 CET","00:0c:29:58:97:2a","00:0c:29:ee:b7:84","192.168.1.106","192.168.1.100","6","62","0x00000012","502","1917",,,
"30","Feb 24, 2015 17:48:50.596146000 CET","00:0c:29:ee:b7:84","00:0c:29:58:97:2a","192.168.1.100","192.168.1.106","6","54","0x00000010","1917","502",,,
"31","Feb 24, 2015 17:48:50.596436000 CET","00:0c:29:dc:42:e5","00:0c:29:ee:b7:84","192.168.1.103","192.168.1.100","6","71","0x00000018","502","1916",,,
"32","Feb 24, 2015 17:48:50.596887000 CET","00:0c:29:ee:b7:84","00:0c:29:58:97:2a","192.168.1.100","192.168.1.106","6","66","0x00000018","1917","502",,,
"33","Feb 24, 2015 17:48:50.597251000 CET","00:0c:29:ee:b7:84","00:0c:29:f9:a8:75","192.168.1.100","192.168.1.101","6","62","0x00000002","1918","502",,,
"34","Feb 24, 2015 17:48:50.597407000 CET","00:0c:29:f9:a8:75","00:0c:29:ee:b7:84","192.168.1.101","192.168.1.100","6","62","0x00000012","502","1918",,,
"35","Feb 24, 2015 17:48:50.597523000 CET","00:0c:29:ee:b7:84","00:0c:29:f9:a8:75","192.168.1.100","192.168.1.101","6","54","0x00000010","1918","502",,,
