frame.time,frame.len,tcp.flags,tcp.srcport,tcp.dstport,ip.src,ip.dst,eth.src,eth.dst,label
"Jan 17, 2023 09:29:30.860126000 CET",74,0x00000002,56768,502,10.20.4.200,10.20.4.100,mac-b,mac-a,0
"Jan 17, 2023 09:29:30.860126000 CET",74,0x00000002,56768,502,10.20.4.200,10.20.4.100,mac-b,mac-a,0
"Jan 17, 2023 09:29:30.861527000 CET",74,0x00000012,502,56768,10.20.4.100,10.20.4.200,mac-a,mac-b,0
"Jan 17, 2023 09:29:30.861527000 CET",74,0x00000012,502,56768,10.20.4.100,10.20.4.200,mac-a,mac-b,0
"Jan 17, 2023 09:29:30.862232000 CET",66,0x00000010,56768,502,10.20.4.200,10.20.4.100,mac-b,mac-a,0
"Jan 17, 2023 09:29:30.862232000 CET",66,0x00000010,56768,502,10.20.4.200,10.20.4.100,mac-b,mac-a,0
"Jan 17, 2023 09:29:30.862505000 CET",78,0x00000018,56768,502,10.20.4.200,10.20.4.100,mac-b,mac-a,0
"Jan 17, 2023 09:29:30.862505000 CET",78,0x00000018,56768,502,10.20.4.200,10.20.4.100,mac-b,mac-a,0
"Jan 17, 2023 09:29:30.863450000 CET",66,0x00000010,502,56768,10.20.4.100,10.20.4.200,mac-a,mac-b,0
"Jan 17, 2023 09:29:30.863450000 CET",66,0x00000010,502,56768,10.20.4.100,10.20.4.200,mac-a,mac-b,0
"Jan 17, 2023 09:29:30.864982000 CET",95,0x00000018,502,56768,10.20.4.100,10.20.4.200,mac-a,mac-b,0
"Jan 17, 2023 09:29:30.864982000 CET",95,0x00000018,502,56768,10.20.4.100,10.20.4.200,mac-a,mac-b,0
"Jan 17, 2023 09:29:30.865618000 CET",66,0x00000010,56768,502,10.20.4.200,10.20.4.100,mac-b,mac-a,0
"Jan 17, 2023 09:29:30.865618000 CET",66,0x00000010,56768,502,10.20.4.200,10.20.4.100,mac-b,mac-a,0
"Jan 17, 2023 09:29:30.865907000 CET",66,0x00000011,56768,502,10.20.4.200,10.20.4.100,mac-b,mac-a,0
"Jan 17, 2023 09:29:30.865907000 CET",66,0x00000011,56768,502,10.20.4.200,10.20.4.100,mac-b,mac-a,0
"Jan 17, 2023 09:29:30.866990000 CET",66,0x00000011,502,56768,10.20.4.100,10.20.4.200,mac-a,mac-b,0
"Jan 17, 2023 09:29:30.866990000 CET",66,0x00000011,502,56768,10.20.4.100,10.20.4.200,mac-a,mac-b,0
"Jan 17, 2023 09:29:30.867600000 CET",66,0x00000010,56768,502,10.20.4.200,10.20.4.100,mac-b,mac-a,0
"Jan 17, 2023 09:29:30.867600000 CET",66,0x00000010,56768,502,10.20.4.200,10.20.4.100,mac-b,mac-a,0
"Jan 17, 2023 09:29:35.180477000 CET",60,0x00000010,56109,503,10.20.4.2,10.20.4.3,mac-d,mac-e,0
"Jan 17, 2023 09:29:35.180477000 CET",60,0x00000010,56109,503,10.20.4.2,10.20.4.3,mac-d,mac-e,0
"Jan 17, 2023 09:29:35.180477000 CET",60,0x00000010,62267,504,10.20.4.2,10.20.4.3,mac-d,mac-e,0
"Jan 17, 2023 09:29:35.180477000 CET",60,0x00000010,62267,504,10.20.4.2,10.20.4.3,mac-d,mac-e,0
