modbus.byte_cnt,modbus.data,modbus.func_code,modbus.reference_num,modbus.regnum16,modbus.regval_uint16,modbus.request_frame,modbus.word_cnt,ip.src,ip.dst,eth.src,eth.dst,label
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",33.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",111.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",181.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",256.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",327.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",401.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",455.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",534.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",593.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",652.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",707.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",776.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",831.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",901.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",960.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",1065.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",1141.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",1218.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",1293.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",1381.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",1462.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",1531.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",1605.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",1681.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",1745.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",1853.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",1940.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",2020.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",2103.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",2189.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",2261.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",2351.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",2424.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",2498.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",2568.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",2637.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",2702.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",2786.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",2853.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",2933.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3004.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3068.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3131.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3210.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3283.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3367.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3452.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3527.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3589.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3674.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3745.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3805.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3878.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",3957.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4023.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4102.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4174.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4233.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4307.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4369.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4433.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4512.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4579.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4638.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4711.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4773.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4850.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",4934.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",5013.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",5078.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",5158.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",5225.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",5290.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",5380.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",5451.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",5514.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",5598.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",5667.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",5742.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",5848.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",5951.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",6022.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",6114.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","29797,29556,8224,8224,8224,8224,8224,8224,8224,8224",6176.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
