frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len,tcp.flags,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.analysis.lost_segment
"1","Feb 24, 2015 18:18:20.632394000 CET","00:0c:29:ee:b7:84","00:0c:29:f9:a8:75","192.168.1.100","192.168.1.101","6","62","0x00000002","1355","502",,,
"2","Feb 24, 2015 18:18:20.632612000 CET","00:0c:29:f9:a8:75","00:0c:29:ee:b7:84","192.168.1.101","192.168.1.100","6","62","0x00000012","502","1355",,,
"3","Feb 24, 2015 18:18:20.632734000 CET","00:0c:29:ee:b7:84","00:0c:29:f9:a8:75","192.168.1.100","192.168.1.101","6","54","0x00000010","1355","502",,,
"4","Feb 24, 2015 18:18:20.633292000 CET","00:0c:29:ee:b7:84","00:0c:29:f9:a8:75","192.168.1.100","192.168.1.101","6","66","0x00000018","1355","502",,,
"5","Feb 24, 2015 18:18:20.633862000 CET","00:0c:29:ee:b7:84","00:0c:29:58:97:2a","192.168.1.100","192.168.1.106","6","62","0x00000002","1356","502",,,
"6","Feb 24, 2015 18:18:20.634033000 CET","00:0c:29:58:97:2a","00:0c:29:ee:b7:84","192.168.1.106","192.168.1.100","6","62","0x00000012","502","1356",,,
"7","Feb 24, 2015 18:18:20.634144000 CET","00:0c:29:f9:a8:75","00:0c:29:ee:b7:84","192.168.1.101","192.168.1.100","6","71","0x00000018","502","1355",,,
"8","Feb 24, 2015 18:18:20.634201000 CET","00:0c:29:ee:b7:84","00:0c:29:58:97:2a","192.168.1.100","192.168.1.106","6","54","0x00000010","1356","502",,,
"9","Feb 24, 2015 18:18:20.634737000 CET","00:0c:29:ee:b7:84","00:0c:29:58:97:2a","192.168.1.100","192.168.1.106","6","66","0x00000018","1356","502",,,
"10","Feb 24, 2015 18:18:20.635278000 CET","00:0c:29:ee:b7:84","00:0c:29:3c:11:3f","192.168.1.100","192.168.1.104","6","62","0x00000002","1357","502",,,
"11","Feb 24, 2015 18:18:20.635479000 CET","00:0c:29:3c:11:3f","00:0c:29:ee:b7:84","192.168.1.104","192.168.1.100","6","62","0x00000012","502","1357",,,
"12","Feb 24, 2015 18:18:20.635603000 CET","00:0c:29:ee:b7:84","00:0c:29:3c:11:3f","192.168.1.100","192.168.1.104","6","54","0x00000010","1357","502",,,
"13","Feb 24, 2015 18:18:20.635631000 CET","00:0c:29:58:97:2a","00:0c:29:ee:b7:84","192.168.1.106","192.168.1.100","6","71","0x00000018","502","1356",,,
"14","Feb 24, 2015 18:18:20.636134000 CET","00:0c:29:ee:b7:84","00:0c:29:3c:11:3f","192.168.1.100","192.168.1.104","6","66","0x00000018","1357","502",,,
"15","Feb 24, 2015 18:18:20.636830000 CET","00:0c:29:ee:b7:84","00:0c:29:6e:ba:5e","192.168.1.100","192.168.1.102","6","62","0x00000002","1358","502",,,
"16","Feb 24, 2015 18:18:20.637001000 CET","00:0c:29:6e:ba:5e","00:0c:29:ee:b7:84","192.168.1.102","192.168.1.100","6","62","0x00000012","502","1358",,,
"17","Feb 24, 2015 18:18:20.637018000 CET","00:0c:29:3c:11:3f","00:0c:29:ee:b7:84","192.168.1.104","192.168.1.100","6","71","0x00000018","502","1357",,,
"18","Feb 24, 2015 18:18:20.637122000 CET","00:0c:29:ee:b7:84","00:0c:29:6e:ba:5e","192.168.1.100","192.168.1.102","6","54","0x00000010","1358","502",,,
